,model,feature,sample,acc,prop
2,LR,installment,20000,96.1,51.15
3,LR,installment,20000,96.1,50.949999999999996
4,LR,installment,20000,96.2,50.849999999999994
5,LR,installment,20000,96.15,50.8
6,LR,installment,20000,96.2,50.74999999999999
7,LR,installment,20000,96.2,50.74999999999999
8,LR,installment,20000,96.25,50.6
9,LR,installment,20000,96.1,50.449999999999996
10,LR,installment,20000,96.05,50.3
0,RFC,installment,20001,81.85,50.6
1,RFC,installment,20001,81.8,48.75
2,RFC,installment,20001,82.95,48.699999999999996
3,RFC,installment,20001,82.85,48.0
4,RFC,installment,20001,82.65,46.7
5,RFC,installment,20001,82.89999999999999,46.650000000000006
6,RFC,installment,20001,82.85,46.400000000000006
7,RFC,installment,20001,82.75,45.800000000000004
8,RFC,installment,20001,82.85,45.6
9,RFC,installment,20001,82.85,44.9
10,RFC,installment,20001,83.1,44.65
0,GBC,installment,20001,95.35,53.0
1,GBC,installment,20001,95.35,52.900000000000006
2,GBC,installment,20001,95.5,52.65
3,GBC,installment,20001,95.45,52.6
4,GBC,installment,20001,95.55,52.7
5,GBC,installment,20001,95.55,52.7
6,GBC,installment,20001,95.55,52.5
7,GBC,installment,20001,95.5,52.349999999999994
8,GBC,installment,20001,95.6,52.349999999999994
9,GBC,installment,20001,95.5,52.25
10,GBC,installment,20001,95.55,52.300000000000004
0,LR,installment,20001,95.15,53.1
1,LR,installment,20001,95.05,53.0
2,LR,installment,20001,95.05,53.0
3,LR,installment,20001,95.25,52.800000000000004
4,LR,installment,20001,95.3,52.75
5,LR,installment,20001,95.3,52.75
6,LR,installment,20001,95.3,52.75
7,LR,installment,20001,95.25,52.7
8,LR,installment,20001,95.3,52.65
9,LR,installment,20001,95.19999999999999,52.55
10,LR,installment,20001,95.19999999999999,52.55
0,RFC,installment,20002,83.0,48.4
1,RFC,installment,20002,81.3,47.599999999999994
2,RFC,installment,20002,81.6,46.400000000000006
3,RFC,installment,20002,81.85,46.75
4,RFC,installment,20002,81.3,46.5
5,RFC,installment,20002,81.3,44.800000000000004
6,RFC,installment,20002,81.35,44.45
7,RFC,installment,20002,81.10000000000001,44.2
8,RFC,installment,20002,80.5,43.7
9,RFC,installment,20002,80.7,43.5
10,RFC,installment,20002,81.35,43.55
0,GBC,installment,20002,96.0,51.5
1,GBC,installment,20002,96.05,51.349999999999994
2,GBC,installment,20002,96.05,51.349999999999994
3,GBC,installment,20002,96.05,51.349999999999994
4,GBC,installment,20002,96.15,51.449999999999996
5,GBC,installment,20002,96.15,51.449999999999996
6,GBC,installment,20002,96.35000000000001,51.24999999999999
7,GBC,installment,20002,96.35000000000001,51.05
8,GBC,installment,20002,96.15,50.74999999999999
9,GBC,installment,20002,96.1,50.7
10,GBC,installment,20002,96.0,50.5
0,LR,installment,20002,95.8,52.400000000000006
1,LR,installment,20002,96.05,52.05
2,LR,installment,20002,95.95,51.949999999999996
3,LR,installment,20002,95.89999999999999,51.9
4,LR,installment,20002,95.75,51.65
5,LR,installment,20002,95.85000000000001,51.55
6,LR,installment,20002,95.7,51.4
7,LR,installment,20002,95.7,51.4
8,LR,installment,20002,95.75,51.349999999999994
9,LR,installment,20002,95.75,51.349999999999994
10,LR,installment,20002,95.55,51.15
0,RFC,installment,20003,82.25,51.1
1,RFC,installment,20003,82.65,49.1
2,RFC,installment,20003,83.2,47.75
3,RFC,installment,20003,83.75,47.099999999999994
4,RFC,installment,20003,83.25,46.800000000000004
5,RFC,installment,20003,83.2,45.75
6,RFC,installment,20003,82.25,45.300000000000004
7,RFC,installment,20003,82.8,44.95
8,RFC,installment,20003,82.65,44.6
9,RFC,installment,20003,82.6,44.45
10,RFC,installment,20003,83.05,43.8
0,GBC,installment,20003,96.65,52.1
1,GBC,installment,20003,96.6,52.25
2,GBC,installment,20003,97.0,52.25
3,GBC,installment,20003,96.65,52.2
4,GBC,installment,20003,96.8,51.949999999999996
5,GBC,installment,20003,96.8,51.949999999999996
6,GBC,installment,20003,96.89999999999999,51.849999999999994
7,GBC,installment,20003,97.05,51.800000000000004
8,GBC,installment,20003,97.15,51.5
9,GBC,installment,20003,96.8,51.55
10,GBC,installment,20003,96.85000000000001,51.6
0,LR,installment,20003,96.25,52.800000000000004
1,LR,installment,20003,96.3,52.75
2,LR,installment,20003,96.3,52.75
3,LR,installment,20003,96.45,52.5
4,LR,installment,20003,96.39999999999999,52.449999999999996
5,LR,installment,20003,96.35000000000001,52.300000000000004
6,LR,installment,20003,96.25,52.2
7,LR,installment,20003,96.3,52.15
8,LR,installment,20003,96.3,52.15
9,LR,installment,20003,96.3,52.15
10,LR,installment,20003,96.3,52.15
0,RFC,installment,20004,84.25,49.95
1,RFC,installment,20004,83.89999999999999,48.4
2,RFC,installment,20004,83.95,47.349999999999994
3,RFC,installment,20004,83.8,47.099999999999994
4,RFC,installment,20004,84.5,46.800000000000004
5,RFC,installment,20004,84.45,45.75
6,RFC,installment,20004,84.0,44.800000000000004
7,RFC,installment,20004,84.5,44.1
8,RFC,installment,20004,84.0,43.7
9,RFC,installment,20004,84.45,43.65
10,RFC,installment,20004,83.89999999999999,42.8
0,GBC,installment,20004,96.45,52.65
1,GBC,installment,20004,96.6,52.5
2,GBC,installment,20004,96.45,52.449999999999996
3,GBC,installment,20004,96.5,52.5
4,GBC,installment,20004,96.45,52.25
5,GBC,installment,20004,96.45,52.15
6,GBC,installment,20004,96.35000000000001,52.25
7,GBC,installment,20004,96.2,52.0
8,GBC,installment,20004,96.25,51.74999999999999
9,GBC,installment,20004,96.25,51.65
10,GBC,installment,20004,96.0,51.300000000000004
0,LR,installment,20004,96.65,52.949999999999996
1,LR,installment,20004,96.25,52.55
2,LR,installment,20004,96.35000000000001,52.449999999999996
3,LR,installment,20004,96.35000000000001,52.449999999999996
4,LR,installment,20004,96.45,52.349999999999994
5,LR,installment,20004,96.39999999999999,52.300000000000004
6,LR,installment,20004,96.39999999999999,52.300000000000004
7,LR,installment,20004,96.39999999999999,52.300000000000004
8,LR,installment,20004,96.25,52.15
9,LR,installment,20004,96.1,52.0
10,LR,installment,20004,96.1,52.0
0,RFC,annual_inc,20000,84.05,42.5
1,RFC,annual_inc,20000,84.45,43.3
2,RFC,annual_inc,20000,84.2,44.05
3,RFC,annual_inc,20000,84.3,43.55
4,RFC,annual_inc,20000,84.25,44.7
5,RFC,annual_inc,20000,84.5,44.85
